,artist_id,name,followers,popularity,genres,main_genre
1537,13saZpZnCDWOI9D4IJhp1f,Lily Allen,2307648,77,"dance pop, electropop, neo mellow",Pop
1538,6bDWAcdtVR3WHz2xtiIPUi,Fujii Kaze,4712264,75,j-pop,Pop
1539,6KZDXtSj0SzGOV705nNeh3,Kid Ink,2977564,69,"pop rap, rap, southern hip hop, trap","Hip Hop, Pop"
1540,7A8S43ryYdbWpJKeHRZRcq,JACKBOYS,1388261,64,pop rap,Pop
1541,5DaqVKaxeqDbJuxaIP9m4u,Danilo e Davi,370646,71,"sertanejo, agronejo, sertanejo universitário","Country, Latin"
1542,6cpOyiEibAAlRlUF4Kk3vI,YAKARY,226980,63,german hip hop,Hip Hop
1543,6BMhCQJYHxxKAeqYS1p5rY,Hinder,2104656,64,post-grunge,Rock
1544,1aQhhnH3sUteqgE1EbmPec,Gülden,132374,58,"turkish pop, arabesk","Pop, Traditional Music"
1545,6Q0gMZJNIebNFFaJeonc11,Holy Fuck,109221,50,"dance-punk, electronic rock",Rock
1546,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,3858732,71,"soul, motown, classic soul",R&B
1547,4XFkDALFTsSHVnRtJSsaMN,Number_i,344555,70,j-pop,Pop
1548,2jnIB6XdLvnJUeNTy5A0J2,Why Don't We,3797615,68,"boy band, pop",Pop
1549,08yYd8o1CrOjIpGHP2I6zU,Huan62,415514,65,dembow,Latin
1550,3QLIkT4rD2FMusaqmkepbq,Rachel Platten,1016760,60,"post-teen pop, talent show, viral pop",Pop
1551,0C1YfsZSxVHgL0Z8bngOTM,Dr. Yaro,280368,59,"pop urbaine, shatta","Pop, Reggae"
1552,1snhtMLeb2DYoMOcVbb8iB,Kenshi Yonezu,7733182,80,"j-pop, anime, j-rock","Pop, Rock"
1553,4XpUIb8uuNlIWVKmgKZXC0,ZICO,2124380,64,"k-rap, k-pop","Hip Hop, Pop"
1554,4QrBoWLm2WNlPdbFhmlaUZ,KEVVO,681795,61,reggaeton,Latin
1555,7HDjs7xzL0m2IbJcg3qnky,Little Homie,92899,58,"dembow, dembow dominicano, drill","Hip Hop, Latin"
1556,3BmGtnKgCSGYIUhmivXKWX,Kelly Clarkson,11021376,87,christmas,Pop
1557,4b0WsB47XCa9F83BmwQ7WX,The Righteous Brothers,758018,63,"adult standards, brill building pop, folk rock, mellow gold, motown, rock-and-roll, rockabilly","Easy Listening, Pop, R&B, Rock"
1558,0Il5vC8lqunSFNav4mMLxU,Natanzinho Lima,2225803,82,"arrocha, seresta, forró, brega, piseiro, sertanejo","Latin, Pop"
1559,0BRUlYcw8Rr4MGHe8kRgTv,Filow,147499,58,german indie,Rock
1560,5J7rXWjtn5HzUkJ4Jet8Fr,Alvaro Diaz,1591086,77,"latin r&b, trap boricua, urbano latino","Latin, R&B"
1561,6l8dHVPkuEFzpQjhCH4xXT,JBS,64882,67,"german indie, german indie pop","Pop, Rock"
1562,0CzoJbqBbtBNLArLyAFDPn,Ikkimel,268314,69,german indie,Rock
1563,4TKhxSkqClXrdtUWgKqHVU,Shallipopi,3245195,73,"afrobeats, afrobeat, afropiano, amapiano, afropop, afro adura","Electronic, Traditional Music"
1564,4sTQVOfp9vEMCemLw50sbu,Galantis,3484292,70,"dance pop, edm, pop, pop dance, progressive electro house","Electronic, Pop"
1565,47PlThLkeouzT58n1Urjdm,The Ironix,15334,54,"afropop, shatta, azonto, afrobeats, french r&b, french rap, afro house, afrobeat, pop urbaine, bongo flava","Electronic, Hip Hop, Pop, Reggae, Traditional Music"
1566,5PokPZn11xzZXyXSfnvIM3,Lifehouse,2169041,65,post-grunge,Rock
1567,44cA8XUceHxTRIVRZAdvW5,DJ Pablito,35154,56,reggaeton,Latin
1568,78F6Xkd46aMHkr4AP60TXY,Clarent,528281,75,trap latino,Latin
1569,0n4Fao9kbjgM76RmVlfSwr,YG Marley,687332,59,reggae,Reggae
1570,2tY2GFdhH0Wa2VBvsxew5X,Alex Ubago,2958093,67,latin pop,Pop
1571,09xj0S68Y1OU1vHMCZAIvz,Café Tacvba,3840029,70,"rock en español, mexican rock, latin rock, latin alternative, ska","Latin, Reggae, Rock"
1572,3SCOuAxngTC1yGjKMcIPEd,Lasso,1135870,67,pop venezolano,Pop
1573,6dhhE0bRngFuvKe3vnzdKn,Yapi,48932,60,latin afrobeats,Latin
1574,35oGZihZclGoTVuICPXRP9,Jere Klein,3380674,77,"reggaeton chileno, chilean mambo, chilean trap, mambo, rkt, reggaeton","Electronic, Hip Hop, Latin"
1575,7uQ1D2NNHs5cUL3CLKRbia,LAGOS,231187,66,pop venezolano,Pop
1576,0VG8uPYk0ymnDxundrTGZK,RAMONMIX,12324,51,brazilian funk,R&B
1577,7IjPW8bcW8D5mccCuVxbEC,Joycee,7120,55,reggaeton,Latin
1578,04mzq9GH08zOBRdV2gzmXm,El Padrinito Toys,1033925,64,"electro corridos, corrido, dembow belico, corridos bélicos, corridos tumbados","Latin, Traditional Music"
1579,1GImnM7WYVp95431ypofy9,Caifanes,5161052,74,"rock en español, mexican rock, latin rock, latin alternative","Latin, Rock"
1580,7mnSf7ctK2nPCEI781P1wU,MC Menor JP,204519,61,brazilian funk,R&B
1581,3i6lAgVHplDXb6zrjIeBeK,Kris R.,1124063,79,trap colombiano,Latin
1582,2dsPXjJl58yqBAtUQmnFOb,Swift 047,28051,64,"reggaeton chileno, chilean trap","Hip Hop, Latin"
1583,3tAICgiSR5PfYY4B8qsoAU,Andrés Calamaro,2842768,72,"argentine rock, rock en español, latin rock",Rock
1584,738wLrAtLtCtFOLvQBXOXp,Major Lazer,6332934,76,moombahton,Latin
1585,7c53ZFyajVMTo08HmvoB6b,zzoilo,117267,60,latin pop,Pop
1586,4VZY0nxYMSNotbS7WjNVQy,Nyla,9248,59,dancehall,Reggae
1587,2zzpznMuhKlKlqh1ma7Sms,Dakota,58833,60,"uk contemporary r&b, tropical house, uk pop, house, uk dance, pop dance, pop edm, progressive electro house, edm, pop, dance pop","Electronic, Pop, R&B"
1588,374sWpAJsbZckf98df2jJJ,Fuse ODG,152609,61,"azonto, afrobeats, hiplife","Hip Hop, Traditional Music"
1589,1A92IAcd7A6npCA33oGM5i,The Proclaimers,398479,63,celtic rock,Rock
1590,0XK6kT7xcZAlcYrNjOgzJe,Carla Morrison,5094437,73,latin indie,Rock
1591,1aWJsBQa67l72j1VT3D6Ow,Micro TDH,2761240,70,"trap latino, trap venezolano, urbano latino, venezuelan hip hop","Hip Hop, Latin"
1592,7DkseLyOZrdRjCuoWFtqFi,Edicion Especial,2493577,74,"corrido, corridos bélicos, norteño, sad sierreño, corridos tumbados",Traditional Music
1593,0niJkG4tKkne3zwr7I8n9n,Finger Eleven,865466,63,"alternative metal, canadian rock, funk metal, nu metal, post-grunge","R&B, Rock"
1594,3Ri4H12KFyu98LMjSoij5V,Bad Omens,2113720,78,metalcore,Metal
1595,0BmLNz4nSLfoWYW1cYsElL,Alexandra Stan,442124,63,europop,Pop
1596,19eLuQmk9aCobbVDHc6eek,Louis Armstrong,3278884,77,"jazz, swing music, vocal jazz, big band",Jazz
