vendor_number,vendor_name,brand,description,purchase_price,actual_price,volume,total_purchase_qty,total_purchase_dollars,total_sales_qty,total_sales_dollars,total_sales_price,total_excise_tax,fright_cost,gross_profit,profit_margin,stock_turnover,sales_to_purchase_ratio,unsold_inventory_value,unit_price,order_size
480,BACARDI USA INC,4179,Bacardi Dragon Berry Rum,15.14,19.99,1750.0,6734,101953.0,6719,144217.0,98570.2,12349.4,89286.3,-59371.6,-41.1683,0.997773,1.41455,1529295.0,15.14003564003564,medium
480,BACARDI USA INC,4196,Bacardi Dragon Berry Rum,7.46,11.99,750.0,10880,81164.8,10497,120103.0,72288.0,8269.71,89286.3,-58617.8,-48.8062,0.964798,1.47974,31086118.400000002,7.46,large
480,BACARDI USA INC,4222,Bacardi Gold Rum,7.99,11.99,750.0,21056,168237.0,20910,229243.0,103864.0,16470.7,89286.3,-44751.5,-19.5214,0.993066,1.36262,24562602.0,7.989979103343465,large
480,BACARDI USA INC,4226,Bacardi Superior Rum Trav,7.68,13.99,750.0,26107,200502.0,25990,300152.0,156776.0,20464.3,89286.3,-10100.2,-3.36504,0.995518,1.497,23458734.0,7.68000919293676,large
480,BACARDI USA INC,4228,Bacardi 8,14.7,19.99,750.0,2736,40219.2,2681,57553.2,45460.9,2114.07,89286.3,-74066.4,-128.692,0.979898,1.43099,2212056.0,14.7,small
480,BACARDI USA INC,4233,Castillo Silver Label Rum,7.87,9.99,1750.0,12637,99453.2,12287,153199.0,60793.6,22576.7,89286.3,-58117.0,-37.9356,0.972304,1.54041,34808620.0,7.8700007913270555,large
480,BACARDI USA INC,4234,Bacardi Pineapple Fusion,7.99,11.99,750.0,7732,61778.7,7190,80286.1,50310.2,5666.45,89286.3,-76445.3,-95.2161,0.929902,1.29958,33484055.4,7.990002586652871,medium
480,BACARDI USA INC,4244,Castillo Gold Rum,9.84,12.99,1750.0,3481,34253.0,3164,33674.4,13280.6,5814.26,89286.3,-95679.2,-284.131,0.908934,0.983106,10858201.0,9.839988509049125,small
480,BACARDI USA INC,4245,Bacardi Superior Rum,7.93,11.99,750.0,58816,466411.0,58320,643475.0,167951.0,45919.4,89286.3,41858.2,6.50503,0.991567,1.37963,231339856.0,7.9300020402611535,large
480,BACARDI USA INC,4246,Bacardi Superior Rum,4.22,5.49,375.0,31200,131664.0,30666,211184.0,95745.8,12050.4,89286.3,-21816.8,-10.3307,0.982885,1.60396,70308576.0,4.22,large
480,BACARDI USA INC,4247,Bacardi Limon Rum,7.99,11.99,750.0,12250,97877.5,11778,133890.0,77062.2,9279.49,89286.3,-62553.0,-46.7197,0.961469,1.36794,46198180.0,7.99,large
480,BACARDI USA INC,4258,Bacardi Mango Fusion,7.35,11.99,750.0,7365,54132.8,7359,83206.4,52760.3,5798.4,89286.3,-66011.0,-79.334,0.999185,1.53708,324796.80000000005,7.35000678886626,medium
